dem_req_rate	req_rate_api.v2.family.com	con_rate_api.v2.family.com	min_rep_rate_api.v2.family.com	avg_rep_rate_api.v2.family.com	max_rep_rate_api.v2.family.com	stddev_rep_rate_api.v2.family.com	resp_time_api.v2.family.com	net_io_api.v2.family.com	errors_api.v2.family.com
1	1.0	1.0	1.0	1.0	1.0	0.0	81.2	0.4	0
2	2.0	2.0	2.0	2.0	2.0	0.0	77.7	0.9	0
3	3.0	3.0	3.0	3.0	3.0	0.0	75.8	1.3	0
4	4.1	4.1	4.0	4.0	4.0	0.0	75.2	1.8	0
5	5.1	5.1	5.0	5.0	5.0	0.0	77.7	2.2	0
6	6.1	6.1	6.0	6.0	6.0	0.0	75.5	2.7	0
7	7.1	7.1	7.0	7.0	7.0	0.0	75.3	3.1	0
8	8.1	8.1	8.0	8.0	8.0	0.0	76.6	3.5	0
9	9.1	9.1	9.0	9.0	9.0	0.0	73.8	4.0	0
10	10.0	10.0	0.0	0.0	0.0	0.0	75.5	4.4	0
11	11.0	11.0	0.0	0.0	0.0	0.0	75.3	4.8	0
12	12.0	12.0	0.0	0.0	0.0	0.0	74.7	5.3	0
13	13.0	13.0	0.0	0.0	0.0	0.0	78.6	5.7	0
14	14.0	14.0	0.0	0.0	0.0	0.0	84.3	6.1	0
15	15.0	15.0	0.0	0.0	0.0	0.0	82.9	6.6	0
16	15.9	15.9	0.0	0.0	0.0	0.0	83.5	7.0	0
17	16.9	16.9	0.0	0.0	0.0	0.0	81.4	7.4	0
18	17.9	17.9	0.0	0.0	0.0	0.0	81.1	7.9	0
19	18.8	18.8	0.0	0.0	0.0	0.0	82.1	8.3	0
20	19.8	19.8	0.0	0.0	0.0	0.0	81.8	8.7	0
21	20.7	20.7	0.0	0.0	0.0	0.0	80.7	9.1	0
22	21.7	21.7	0.0	0.0	0.0	0.0	81.5	9.5	0
23	22.7	22.7	0.0	0.0	0.0	0.0	82.6	10.0	0
24	23.6	23.6	0.0	0.0	0.0	0.0	83.4	10.4	0
25	24.5	24.5	0.0	0.0	0.0	0.0	83.8	10.8	0
26	25.5	25.5	0.0	0.0	0.0	0.0	93.2	11.2	0
27	26.5	26.5	0.0	0.0	0.0	0.0	81.6	11.6	0
28	27.4	27.4	0.0	0.0	0.0	0.0	80.8	12.0	0
29	28.3	28.3	0.0	0.0	0.0	0.0	79.3	12.4	0
30	29.2	29.2	0.0	0.0	0.0	0.0	79.2	12.8	0
31	30.2	30.2	0.0	0.0	0.0	0.0	82.2	13.3	0
32	31.0	31.0	0.0	0.0	0.0	0.0	82.7	13.6	0
33	32.0	32.0	0.0	0.0	0.0	0.0	84.3	14.1	0
34	32.8	32.8	0.0	0.0	0.0	0.0	94.8	14.4	0
35	33.5	33.5	0.0	0.0	0.0	0.0	100.9	14.7	0
36	34.7	34.7	0.0	0.0	0.0	0.0	91.3	15.3	0
37	32.5	32.5	0.0	0.0	0.0	0.0	176.8	14.3	0
38	32.7	32.7	0.0	0.0	0.0	0.0	215.8	14.4	0
39	35.8	35.8	0.0	0.0	0.0	0.0	161.0	15.7	0
40	33.1	33.1	0.0	0.0	0.0	0.0	240.4	14.5	0
41	32.9	32.9	0.0	0.0	0.0	0.0	298.1	14.5	0
42	33.0	33.0	0.0	0.0	0.0	0.0	311.3	14.5	0
43	32.8	32.8	0.0	0.0	0.0	0.0	333.2	14.4	0
44	35.3	35.3	0.0	0.0	0.0	0.0	286.1	15.5	0
45	9.7	9.7	9.6	9.6	9.6	0.0	874.8	4.2	0
46	11.3	11.3	0.0	0.0	0.0	0.0	630.3	5.0	0
47	19.2	19.2	0.0	0.0	0.0	0.0	489.2	8.4	0
48	15.3	15.3	0.0	0.0	0.0	0.0	1046.8	6.7	0
49	13.6	13.6	0.0	0.0	0.0	0.0	1268.8	6.0	0
50	14.6	14.6	0.0	0.0	0.0	0.0	953.7	6.4	0
